title,price,rating,reviews,availability
PlayStation 4 Slim 1TB Console,$369.95,4.7 out of 5 stars,"15,779 ratings",In Stock
Sony Playstation PS4 1TB Black Console,$200.00,4.6 out of 5 stars,"1,600 ratings",Only 2 left in stock - order soon.
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",$189.99,4.3 out of 5 stars,378 ratings,Only 2 left in stock - order soon.
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,$379.92,4.4 out of 5 stars,140 ratings,In Stock
PlayStation 4 Slim 1TB Console,$249.99,4.2 out of 5 stars,319 ratings,Only 5 left in stock - order soon.
Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),$184.99,4.4 out of 5 stars,"4,140 ratings",Only 1 left in stock - order soon.
PlayStation 4 Slim 1TB Limited Edition Console - Call of Duty WWII Bundle [Discontinued] (Renewed),$249.49,2.8 out of 5 stars,3 ratings,
PlayStation 4 500GB Console - Call of Duty Black Ops III Bundle [Discontinued],$190.00,4.6 out of 5 stars,"2,011 ratings",Only 1 left in stock - order soon.
PS4 Slim 500GB Console + Controller,$170.00,4.4 out of 5 stars,"1,921 ratings",Only 1 left in stock - order soon.
PlayStation 4 Slim 1TB Console - Marvel's Spider-Man Bundle [Discontinued],$200.00,4.6 out of 5 stars,"2,825 ratings",Only 2 left in stock - order soon.
"Wuthur PS4 Controller Wireless 2 Pack, Compatible with PlayStation 4 - Black & White",$30.58,4.3 out of 5 stars,432 ratings,In Stock
PlayStation 4 Slim 500GB Console - Uncharted 4 Bundle Discontinued,$198.99,4.8 out of 5 stars,"6,514 ratings",Only 3 left in stock - order soon.
Sony Computer Entertainment Call of Duty WW2 LE PS4 HW 1TB - PlayStation,$289.95,4.4 out of 5 stars,737 ratings,Only 1 left in stock - order soon.
500GB PlayStation 4 Console -Star Wars Battlefront Bundle,$196.01,4.4 out of 5 stars,"1,319 ratings",Only 6 left in stock - order soon.
"PS4 Controller Charger Dock Station, OIVO 1.8Hrs PS4 Controller Charging Dock, Charging Station Replacement for PlayStation 4 Dualshock 4 Charger",$14.99,4.7 out of 5 stars,"40,159 ratings",In Stock
"GamingBoy Wireless Controller for PS4, 2 Pack RGB Remote Control for Ps4/PC with Hall Effect Joystick/1000mAh Battery/Type-C Port/Dual Vibration/6-Axis Sensor/Audio Jack（Black）",$32.99,4.4 out of 5 stars,60 ratings,In Stock
"MOOGOLE PS4 Controller Wireless, with Vibration Feedback/Motion Sensing/Touchpad/Light Bar/Speaker/3.5mm Headphone Jack/Share, Compatible with PlayStation 4 (Black)",$19.98,4.2 out of 5 stars,"3,955 ratings",In Stock
"Jeecoo J70 Wired Gaming Headset for Xbox PS4 PS5 PC - Gaming Headphones with Stereo Sound, Retractable Microphone, Ultra-Soft Memory Foam Ear Pads",$23.99,4.3 out of 5 stars,80 ratings,In Stock
